[ 2014-09-20T08:32:15+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000384s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000961s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000204s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000252s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.016014s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016098s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001054s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000644s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000263s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000361s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002510s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000368s ]
[ 2014-09-20T08:32:15+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000431s ]
